title,authors,year,citationCount,abstract,keywords 
Web intelligence linked open data for website design reuse,"['Maxim Bakaev', 'V. Khvorostov', 'Sebastian Heil', 'M. Gaedke']",2017,3,"Code and design reuse are as old as software engineering industry itself, but it’s also always a new trend, as more and more software products and websites are being created. Domain-specific design reuse on the web has especially high potential, saving work effort for thousands of developers and encouraging better interaction quality for millions of Internet users. In our paper we perform pilot feature engineering for finding similar solutions (website designs) within Domain, Task, and User UI models supplemented by Quality aspects. To obtain the feature values, we propose extraction of website-relevant data from online global services (DMOZ, Alexa, SimilarWeb, etc.) considered as linked open data sources, using specially developed web intelligence data miner. The preliminary investigation with 21 websites and 82 human annotators showed reasonable accuracy of the data sources and suggests potential feasibility of the approach.",
Toward collaborative software engineering leveraging the crowd,"['B. Satzger', 'R. Zabolotnyi', 'S. Dustdar', 'Stefan Wild', 'M. Gaedke', 'S. Göbel', 'T. Nestler']",2013,7,"Crowdsourcing and social networks open new opportunities for software development. As of today, however, there is no integrated approach to leverage this potential for software development in a systematic way. In this chapter we discuss the state of the art, its limitations, and research efforts toward a holistic, crowd-enabled software engineering experience. This allows companies to leverage the potential of the crowd, a flexible on-demand workforce, by seamless integration of suitable experts into the software development process. Software developers working in loosely coupled and open team structures need to be supported to efficiently collaborate by providing them with the necessary tool chain. Since the management of software projects incorporating the crowd poses new challenges to project managers, we also discuss approaches that help to manage such projects and to ensure a high-quality software product.","['project', 'leverage', 'open', 'discus', 'potential', 'software', 'development', 'approach', 'crowd']"
Development of Web 2.0 Applications using WebComposition/Data Grid Service,"['Olexiy Chudnovskyy', 'M. Gaedke']",2010,8,"Data integration and content publishing in terms of Linked Data is a complex and time-consuming task while developing Web 2.0 applications. Considering this problem separately from architecture design increases application main- tenance effort and causes additional overhead to provide public access functions. In this paper, we present the WebComposi- tion/Data Grid Service and its data management capabilities to meet demands of modern Web 2.0 applications. We show how to facilitate the application implementation and shorten development time by applying the Data Grid Service as Web Service-based storage solution. Keywords-REST; Linked Data; Web 2.0.","['Web', '20', 'Grid', 'Service', 'Data', 'Linked', 'application']"
Capturing the Essentials of Federated Systems,"['J. Meinecke', 'M. Gaedke', 'F. Majer', 'Alexander Brändle']",2006,6,"Today, the Web is increasingly used as a platform for distributed services, which transcend organizational boundaries to form federated applications. Consequently, there is a growing interest in the architectural aspect of Web-based systems, i.e. the composition of the overall solution into individual Web applications and Web services from different parties. The design and evolution of federated systems calls for models that give an overview of the structural as well as trust-specific composition and reflect the technical details of the various accesses. We introduce the WebComposition Architecture Model (WAM) as an overall modeling approach tailored to aspects of highly distributed systems with federation as an integral factor.","['Web', 'aspect', 'composition', 'distributed', 'application', 'system', 'service', 'federated']"
Crossing the Gap-From Design to Implementation in Web-Application Development,"['Christian Segor', 'M. Gaedke']",2000,11,"The understanding of Web application development mostly neglects approaches to Hypermedia concepts and manageable structures of the information space, resulting in Web sites that fail in achieving typical goals that are important for evolving applications. The implementation model of the Web burdens the application of design methodologies like object-orientation due to the document-centric granularity. To overcome this gap a disciplined engineering approach is necessary. In this paper we present a dedicated process model, which enables a software-engineer to map an object-oriented design to the Web implementation model using a component-based implementation technology and a supporting framework.","['Web', 'application', 'implementation', 'model', 'design', 'approach']"
Inuit: The Interface Usability Instrument,"['Maximilian Speicher', 'A. Both', 'M. Gaedke']",2015,6,"Explicit user testing tends to be costly and time-consuming from a company’s point of view. Therefore, it would be desirable to infer a quantitative usability score directly from implicit feedback, i.e., the interactions of users with a web interface. As a basis for this, we require an adequate usability instrument whose items form a usability score and can be meaningfully correlated with such interactions. Thus, we present Inuit, the first instrument consisting of only seven items that have the right level of abstraction to directly reflect user behavior on the client. It has been designed in a two-step process involving usability guideline reviews and expert interviews. A confirmatory factor analysis shows that our model reasonably well reflects real-world perceptions of usability.","['usability', 'user', 'item', 'interaction', 'instrument', 'score']"
"An extensible, model-driven and end-user centric approach for api building","['J. Rivero', 'Sebastian Heil', 'J. Grigera', 'Esteban Robles Luna', 'M. Gaedke']",2014,6,"The implementation of APIs in new applications is becoming a mandatory requirement due to the increasing use of cloud-based solutions, the necessity of integration with ubiquitous applications (like Facebook or Twitter) and the need to facilitate multi-platform support from scratch in the development. However, there is still no theoretically sound process for defining APIs (starting from end-user requirements) or their productive development and evolution, which represents a complex task. Moreover, high-level solutions intended to boost productivity of API development (usually based on Model-Driven Development methodologies) are often difficult to adapt to specific use cases and requirements. In this paper we propose a methodology that allows capturing requirements related to APIs using end-user-friendly artifacts. These artifacts allow quickly generating a first running version of the API with a specific architecture, which facilitates introducing refinements in it through direct coding, as is commonly accomplished in code-based Agile processes.","['APIs', 'requirement', 'methodology', 'development', 'application', 'process', 'solution']"
The chrooma+ approach to enrich video content using HTML5,"['Philipp Oehme', 'M. Krug', 'Fabian Wiedemann', 'M. Gaedke']",2013,7,"The Internet has become an important source for media content. Content types are not limited to text and pictures but also include video and audio. Currently audiovisual media is presented as it is. However, these media do not integrate the huge amount of related information, which is available on the Web. In this paper we present the Chrooma+ approach to improve the user experience of media consumption by enriching media content with additional information from various sources in the Web. Our approach focuses on the aggregation and combination of this related information with audiovisual media. This approach involves using new HTML5 technologies and with WebVTT a new annotation format to display relevant information at definite times. Some of the advantages of this approach are the usage of a rich annotation format and extensibility to include heterogeneous information sources.","['source', 'content', 'annotation', 'format', 'medium', 'audiovisual', 'approach', 'Web', 'include']"
Web Engineering,"['T. Mikkonen', 'R. Klamma', 'Juan Hernández']",2018,1,"s of the Invited Talks Demystifying Smart Data and Smart Industrial-Strength Applications: Solving Problems and Creating Opportunities Michael P. Papazoglou Tilburg University, The Netherlands m.p.papazoglou@tilburguniversity.edu Abstract. Smart Data emphasize the latent value inherent in widely dispersed and unconnected data sources. The decisive criterion here is not necessarily the amount of data available, but smart content techniques that promote not only the collection and accumulation of related data, but also its context, and understanding. This requires discovering associations between the data, prioritizing results, finding useful insights, discovering patterns and trends within the data to reveal a wider picture that is more relevant to the problem in hand and react to them. Smart Industrial-Strength Applications are a new generation of software applications that combine the benefits of smart data and advanced analytics to help organisations manage their resources (including humans), data, processes and systems more efficiently. Smart Data and Application innovations promise to bring greater speed and efficiency to industries as diverse as smart agriculture, smart cities, smart tourism, and smart health care delivery where they provide meaningful insights to decision makers and help them solve complex problems. They hold the promise of stronger economic growth, better and more job creation and rising living standards. This talk will focus on the role, characteristics, potential of smart data and applications for diverse domains, and their enabling technologies. To illustrate the potential of smart data and applications, the talk will draw on examples that highlight the interplay of medical and technical aspects of smart healthcare applications. Smart healthcare involves deploying computing, information, service, sensor and visualisation technologies to aid in preventing disease, improving the quality of care and lowering overall cost. The talk will also examine the design and deployment requirements, particularly for point-of-care medical applications, which emerge from the interplay of the actual clinical situation and the novelty of the smart healthcare application. Smart Data emphasize the latent value inherent in widely dispersed and unconnected data sources. The decisive criterion here is not necessarily the amount of data available, but smart content techniques that promote not only the collection and accumulation of related data, but also its context, and understanding. This requires discovering associations between the data, prioritizing results, finding useful insights, discovering patterns and trends within the data to reveal a wider picture that is more relevant to the problem in hand and react to them. Smart Industrial-Strength Applications are a new generation of software applications that combine the benefits of smart data and advanced analytics to help organisations manage their resources (including humans), data, processes and systems more efficiently. Smart Data and Application innovations promise to bring greater speed and efficiency to industries as diverse as smart agriculture, smart cities, smart tourism, and smart health care delivery where they provide meaningful insights to decision makers and help them solve complex problems. They hold the promise of stronger economic growth, better and more job creation and rising living standards. This talk will focus on the role, characteristics, potential of smart data and applications for diverse domains, and their enabling technologies. To illustrate the potential of smart data and applications, the talk will draw on examples that highlight the interplay of medical and technical aspects of smart healthcare applications. Smart healthcare involves deploying computing, information, service, sensor and visualisation technologies to aid in preventing disease, improving the quality of care and lowering overall cost. The talk will also examine the design and deployment requirements, particularly for point-of-care medical applications, which emerge from the interplay of the actual clinical situation and the novelty of the smart healthcare application.",
A domain-specific language for the model-driven construction of advanced web-based dialogs,"['P. Freudenstein', 'M. Nussbaumer', 'Florian Allerding', 'M. Gaedke']",2008,7,"Complex dialogs with comprehensive underlying data models are gaining increasing importance in today's Web applications. This in turn accelerates the need for highly dynamic dialogs offering guidance to the users and thus reducing cognitive overload. Beyond that, requirements from the fields of aesthetics, Web accessibility, platform-independence, and Web service integration arise. To this end, we present an evolutionary, extensible approach for the model-driven construction of advanced dialogs. It is based on a Domain-specific Language (DSL) focusing on simplicity and fostering collaboration with stakeholders.","['dialog', 'Web']"
WAEX: Web Accessibility Evaluator in a single XSLT file,"['V. L. Centeno', 'C. D. Kloos', 'M. Gaedke', 'M. Nussbaumer']",2006,5,"Web accessibility rules, i.e., the conditions to be met by Web sites in order to be considered as accessible for all, can be (partially) checked automatically in many different ways. Monolitic applications built on top of procedural programming languages like C, Java, Perl or PHP have been developed during the last years. These applications usually provide their own interpretation of the W3C guidelines, so it is easy to obtain different evaluation results when different evaluation tools are applied to a common sample page. Since most accessibility rules are involved with the markup of Web sites and XSLT can be applied to any selectable-by-condition markup, we have developed WAEX as a Web accessibility evaluator in a single XSLT file. Such XSLT file contains 50+ singular accessibility rules and XHTML-specific conditions that are in the prose of the XHTML specification because they could not be included in the grammar specification (the DTD or the XML Schemas). This approach of using XSLT as a declarative repository of accessibility rules has lead to a portable and reusable style sheet that generates rather complete (if compared with already existing evaluation tools) accessibility reports for any Web page","['accessibility', 'Web', 'XSLT', 'rule', 'evaluation', 'site', 'file', 'markup']"
M2M interface: a Web services-based framework for federated enterprise management,"['Lei Liu', 'M. Gaedke', 'A. Köppel']",2005,11,"Managing a highly connected and heterogeneous computing environment requires the federation of various management systems (managers) across different platforms, technologies and systems. This research work is focusing on a generic manager-to-manager (M2M) interface, which enables a seamless cooperation between autonomous managers on the basis of Web services. Next to the standard Web services protocol stack, further emerging Web services specifications are reviewed in depth for the usability in this case study.","['Web', 'service', 'manager', 'enables', 'generic', 'M2', 'requires', 'technology', 'depth', 'seamless', 'specification', 'system', 'computing', 'Managing', 'federation', 'basis', 'standard', 'connected', 'management', 'environment', 'managertomanager']"
A web engineering approach to model the architecture of inter-organizational applications,"['J. Meinecke', 'M. Gaedke', 'M. Nussbaumer']",2005,4,"During recent years, the World Wide Web (WWW, Web) has in- creasingly been used as a platform for applications that link together processes both between and across organizations. Acting as distributed components, Web Services provide a standardized way of externalizing functionality on a global scale and as such enable accesses that transcend organizational boundaries to form federated applications. The design and evolution of these federated appli- cations is now imposing new obligations for the disciplined engineering of composed Web solutions. To meet these obligations, we extend the WebCom- position idea, which is an approach to apply component-based software devel- opment concepts on Web applications. This extension facilitates modeling the complex landscape of the components and services building the federated ap- plications. In this context, we introduce the WebComposition Architecture Model that serves as a map to keep track of the interrelations between the fed- erated partners in terms of the involved Web-technology. Among the modeled artifacts are Web services, Web Applications and organizational zones of con- trol that are all subject to evolution in the sense of the WebComposition ap- proach. The rise of network technologies has enabled many fields of applications and ways to support businesses. Initially applied to connect only distributed components within single companies, it is nowadays increasingly used to link together systems of multi- ple enterprises for the purpose of cooperation and federation. The resulting applica- tions are therefore characterized by their component-oriented architecture and distrib- uted nature. This trend has also been influenced by recent advances in Web technologies, par- ticularly in the field of Web services. In the context of enterprise integration, the ser- vice can take the role of the component in a distributed system by exposing function- ality and data through defined interfaces and standardized Web protocols. The value they provide can then be used in applications from within as well as from outside the company. In order to facilitate their orchestration to higher-level services, solutions can rely on business-process engines that control the execution flow of multiple ser- vices based on formal descriptions of the process.","['Web', 'service', 'manager', 'enables', 'generic', 'M2', 'requires', 'technology', 'depth', 'seamless', 'specification', 'system', 'computing', 'Managing', 'federation', 'basis', 'standard', 'connected', 'management', 'environment', 'managertomanager']"
An automated cyclic planning framework based on plan-do-check-act for web of things composition,"['Mahda Noura', 'M. Gaedke']",2019,5,"Empowering end users to be directly involved in the development and composition of their smart devices surrounding them that achieves their goals is a major challenge for End User Development (EUD) in the context of Web of Things (WoT). This can be achieved through Artificial Intelligence (AI) planning. Planning is intended as the ability of a WoT system to construct a sequence of actions, that when executed by the smart devices, achieves an effect on the environment in response to an end user issued goal. The problem of planning specifically for the WoT domain has not been sufficiently dealt with in the existing literature. The existing planning approaches do not deal with one or more of the following important factors in the context of WoT: (1) random unexpected events (2) unpredictable device effects leading to side effects at runtime, and (3) durative effects. In this work, we propose a cyclic planning system which adopted a PDCA (Plan-Do-Check-Act) process solution to deal with the existing shortcomings for continuous improvement. The planner employs domain knowledge based on the WoTDL (Web of Things Description Language) ontology.The cyclic planner enables continuous plan monitoring to cope with inconsistencies with user issued goals. We demonstrate the feasibility of the proposed approach on our smart home testbed. The proposed planner further enhances the ease of use for end users in the context of our goal-oriented approach GrOWTH.","['Web', 'service', 'manager', 'enables', 'generic', 'M2', 'requires', 'technology', 'depth', 'seamless', 'specification', 'system', 'computing', 'Managing', 'federation', 'basis', 'standard', 'connected', 'management', 'environment', 'managertomanager']"
Kansei engineering experimental research with university websites,"['M. Bakaev', 'M. Gaedke', 'Sebastian Heil']",2016,6,,"['Web', 'service', 'manager', 'enables', 'generic', 'M2', 'requires', 'technology', 'depth', 'seamless', 'specification', 'system', 'computing', 'Managing', 'federation', 'basis', 'standard', 'connected', 'management', 'environment', 'managertomanager']"
Towards real-time collaboration in user interface mashups,"['Alexey Tschudnowsky', 'Michael Hertel', 'Fabian Wiedemann', 'M. Gaedke']",2014,6,"Recently, user interface mashups have become a popular approach for covering the long tail of end-user needs. The simple composition paradigm and rich tool support aim at enabling even non-programmers to aggregate data and application logic to solve situational business tasks. Despite of existing assistance mechanisms, both development and usage of UI mashups remain mostly a single-user activity. As a result, novices are usually left alone in case of configuration problems or unexpected errors. Furthermore, the work cannot be distributed efficiently to solve tasks faster. This paper presents an approach to make development of and interaction with mashups a collaborative process. We show, how one can extend today's composition platforms towards real-time collaboration and demonstrate the approach in the context of the open-source mashup platform Apache Rave.","['Web', 'service', 'manager', 'enables', 'generic', 'M2', 'requires', 'technology', 'depth', 'seamless', 'specification', 'system', 'computing', 'Managing', 'federation', 'basis', 'standard', 'connected', 'management', 'environment', 'managertomanager']"
Collaborative adaptive case management with linked data,"['Sebastian Heil', 'Stefan Wild', 'M. Gaedke']",2014,10,"An increasing share of today's work is knowledge work. Adaptive Case Management (ACM) assists knowledge workers in handling this collaborative, emergent and unpredictable type of work. Finding suitable workers for specific functions still relies on manual assessment and assignment by persons in charge, which does not scale well. In this paper we discuss a tool for ACM to facilitate this expert finding leveraging existing Web technology. We propose a method to automatically recommend a set of eligible workers utilizing linked data, enriched user profile data from distributed social networks and information gathered from case descriptions. This semantic recommendation method detects similarities between case requirements and worker profiles. The algorithm traverses distributed social graphs to retrieve a ranked list of suitable contributors to a case according to adaptable metrics. For this purpose, we introduce a vocabulary to specify case requirements and a vocabulary to describe skill sets and personal attributes of workers. The semantic recommendation method is demonstrated by a prototypical implementation using a WebID-based distributed social network.","['Web', 'service', 'manager', 'enables', 'generic', 'M2', 'requires', 'technology', 'depth', 'seamless', 'specification', 'system', 'computing', 'Managing', 'federation', 'basis', 'standard', 'connected', 'management', 'environment', 'managertomanager']"
Protecting user profile data in WebID-based social networks through fine-grained filtering,"['Stefan Wild', 'Olexiy Chudnovskyy', 'Sebastian Heil', 'M. Gaedke']",2013,9,"The WebID identification approach allows users to manage their profile data at a self-defined place in the cloud and enables services as well as other requesters to retrieve data stored within these profiles. While existing access control mechanisms can secure entire user profiles from unauthorized access, they lack fine-grained protection of sensitive data within user profiles. 
 
This paper presents an approach for applying requester-specific filters to cloud-stored user profile data in WebID-based distributed social networks. Our approach aims at enabling profile owners to protect sensitive user data within their profiles in a fine-grained manner. We demonstrate our solution by integrating the approach into a WebID identity provider and profile management platform.","['Web', 'service', 'manager', 'enables', 'generic', 'M2', 'requires', 'technology', 'depth', 'seamless', 'specification', 'system', 'computing', 'Managing', 'federation', 'basis', 'standard', 'connected', 'management', 'environment', 'managertomanager']"
Customized views on profiles in webid-based distributed social networks,"['Stefan Wild', 'Olexiy Chudnovskyy', 'Sebastian Heil', 'M. Gaedke']",2013,9,"WebID as an extensible and distributed identification approach enables users to globally authenticate themselves, connect to each other and manage their identity data at a self-defined place. Identity data stored in WebID profile documents can be protected from unauthorized access using appropriate access control methods. While existing methods are primarily about securing resources, they lack providing adequate mechanisms for controlling access to specific data within profiles. 
 
This paper presents our approach to create customized views on profiles in WebID-based distributed social networks. We introduce fine-grained personalized filters based on SPARQL templates and demonstrate their integration into an existing identity management platform.","['Web', 'service', 'manager', 'enables', 'generic', 'M2', 'requires', 'technology', 'depth', 'seamless', 'specification', 'system', 'computing', 'Managing', 'federation', 'basis', 'standard', 'connected', 'management', 'environment', 'managertomanager']"
Business Process Integration using Telco Mashups,"['Olexiy Chudnovskyy', 'Hendrik Gebhardt', 'Frank Weinhold', 'M. Gaedke']",2011,5,"In this paper we present our approach to support business processes integration and execution using telco services. We adopt Web mashup techniques to systematically develop collaborative Web applications and utilize telco services as a well-known and ubiquitous medium for data transfer and exchange. We define a telco mashup reference architecture and derive a dedicated mashup execution platform. Finally, we present current research challenges and give an outlook of further work.","['Web', 'service', 'manager', 'enables', 'generic', 'M2', 'requires', 'technology', 'depth', 'seamless', 'specification', 'system', 'computing', 'Managing', 'federation', 'basis', 'standard', 'connected', 'management', 'environment', 'managertomanager']"
Data portability using Webcomposition/Data grid service,"['Emmanuel Syrmoudis', 'Stefan Mager', 'Sophie Kuebler-Wachendorff', 'Paul Pizzinini', 'Jens Grossklags', 'Johann Kranz']",2021,4,"Abstract Data portability regulation has promised that individuals will be easily able to transfer their personal data between online service providers. Yet, after more than two years of an active privacy regulation regime in the European Union, this promise is far from being fulfilled. Given the lack of a functioning infrastructure for direct data portability between multiple providers, we investigate in our study how easily an individual could currently make use of an indirect data transfer between providers. We define such porting as a two-step transfer: firstly, requesting a data export from one provider, followed secondly by the import of the obtained data to another provider. To answer this question, we examine the data export practices of 182 online services, including the top one hundred visited websites in Germany according to the Alexa ranking, as well as their data import capabilities. Our main results show that high-ranking services, which primarily represent incumbents of key online markets, provide significantly larger data export scope and increased import possibilities than their lower-ranking competitors. Moreover, they establish more thorough authentication of individuals before export. These first empirical results challenge the theoretical literature on data portability, according to which, it would be expected that incumbents only complied with the minimal possible export scope in order to not lose exclusive consumer data to market competitors free-of-charge. We attribute the practices of incumbents observed in our study to the absence of an infrastructure realizing direct data portability.","['Web', 'service', 'manager', 'enables', 'generic', 'M2', 'requires', 'technology', 'depth', 'seamless', 'specification', 'system', 'computing', 'Managing', 'federation', 'basis', 'standard', 'connected', 'management', 'environment', 'managertomanager']"
FDX: federating devices and web applications,"['M. Gaedke', 'J. Meinecke', 'Andreas Heil']",2006,3,"Electronic devices have been used for the support of everyday tasks in domestic and professional environments for some time now. Currently, there is a tendency towards a combined application of individual gadgets that are connected within locally confined environments via a diversity of protocols and technologies like UPnP, WLAN and Bluetooth. As one step further in this direction, there is the vision of devices that are globally and uniformly connected through the WWW, extending the Mobile Web to a Ubiquitous Web. Hence, this allows for scenarios where actions on one device can trigger events on an arbitrary other device, and where third-party Web services from anywhere in the world are involved. Ultimately, this results in federations of devices and Web services belonging to different households, companies, suppliers and service providers, forming new kinds of Web applications that integrate devices as an additional dimension. To fulfill this vision, solutions are required that are able to abstract from the different device implementations and bridge the gap between the device and the Web. In this paper, we present the Federated Device Assembly (FDX) approach that offers an integrated management platform for wrapping and as such connecting arbitrary devices to enable new forms of Web applications along with the means to model such federations. Furthermore, we demonstrate how the required infrastructure systems can be realized by introducing a reference architecture and a generic Web service interface.","['Web', 'service', 'manager', 'enables', 'generic', 'M2', 'requires', 'technology', 'depth', 'seamless', 'specification', 'system', 'computing', 'Managing', 'federation', 'basis', 'standard', 'connected', 'management', 'environment', 'managertomanager']"
Stakeholder Collaboration: From conversation to contribution,"['M. Nussbaumer', 'P. Freudenstein', 'M. Gaedke']",2006,7,"Establishing efficient and intensive stakeholder collaboration is a key factor in Web application development projects. Therefore, the form of collaboration needs to be shifted from simple conversation to valuable contribution, i.e. empowering stakeholders to directly contribute to the development effort. To achieve this, we introduce an approach combining Domain-specific Languages and an underlying technical platform.","['Web', 'service', 'manager', 'enables', 'generic', 'M2', 'requires', 'technology', 'depth', 'seamless', 'specification', 'system', 'computing', 'Managing', 'federation', 'basis', 'standard', 'connected', 'management', 'environment', 'managertomanager']"
Specification of components based on the webcomposition component model,"['M. Gaedke', 'K. Turowski']",2002,13,"Developing application systems that use the World Wide Web (WWW, Web) as an application platform suffers from the absence of disciplined approaches to develop such Web-applications. Besides, the Web's implementation model makes it difficult to apply well-known process models to the development and evolution of Web-applications. On the other hand, component-based software development appears as a promising approach that meets essential requirements of developing and evolving highly dynamic Web-applications. With respect to Web-applications, its main objective is to build Web-applications from (standardized) components. Founded on these insights and based on a dedicated component model, we propose an approach to a disciplined specification of components.","['Web', 'service', 'manager', 'enables', 'generic', 'M2', 'requires', 'technology', 'depth', 'seamless', 'specification', 'system', 'computing', 'Managing', 'federation', 'basis', 'standard', 'connected', 'management', 'environment', 'managertomanager']"
Extending Kansei Engineering for requirements consideration in web interaction design,"['Maxim Bakaev', 'M. Gaedke', 'V. Khvorostov', 'Sebastian Heil']",2016,3,"In our paper we consider how the eminent Kansei Engineering (KE) method can be applied in computer-aided development of websites. Although principally used for exploring emotional dimension of users’ experience with products, KE can be extended to incorporate other types of software requirements. In conjunction with AI Neural Networks (Kansei Type II), it then becomes possible to automate, up to a certain degree, evaluation of website quality in terms of functionality, usability, and appeal. We provide an overview of existing works related to KE application in web design, and note its certain gap with systematic Web Engineering. Then we summarize approaches for auto-validation of different types of requirements, with particular focus on computer-aided usability evaluation. Finally, we describe the ongoing experimental study we undertook with 82 participants, in which a Kansei-based survey with 21 university websites was performed, and outline preliminary results and prospects.","['Web', 'service', 'manager', 'enables', 'generic', 'M2', 'requires', 'technology', 'depth', 'seamless', 'specification', 'system', 'computing', 'Managing', 'federation', 'basis', 'standard', 'connected', 'management', 'environment', 'managertomanager']"
"Proprotect3: An approach for protecting user profile data from disclosure, tampering, and improper use in the context of webid","['Stefan Wild', 'Fabian Wiedemann', 'Sebastian Heil', 'Alexey Tschudnowsky', 'M. Gaedke']",2015,5,"WebID is a new identification approach of the W3C. It enables managing profile data associated to persons and services at self-defined places in the cloud. By relying on RDF vocabularies like FOAF for describing user profile data, WebID contributes to the Semantic Web vision. While access to user profiles can be controlled with existing security mechanisms, they are not designed to protect sensitive data within user profiles from unwanted retrieval, malicious manipulation, and improper use. This article analyzes the risks that affect the knowledge stored in WebID-based user profiles. It therefore describes potential attack scenarios and outlines the challenges a solution must deal with. To tackle the problem of insufficient protection, we propose ProProtect3. This approach enables identity owners (1) to create customized filters for sensitive data, (2) to verify the profile data integrity, and (3) to restrict the rights of delegatees. For evaluating the ProProtect3 approach, we integrate it into a WebID identity provider.","['Web', 'service', 'manager', 'enables', 'generic', 'M2', 'requires', 'technology', 'depth', 'seamless', 'specification', 'system', 'computing', 'Managing', 'federation', 'basis', 'standard', 'connected', 'management', 'environment', 'managertomanager']"
From choreographed to hybrid user interface mashups: a generic transformation approach,"['Alexey Tschudnowsky', 'S. Pietschmann', 'Matthias Niederhausen', 'Michael Hertel']",2014,6,"Inter-widget communication (IWC) becomes an increasingly important topic in the field of user interface mashups. Recent research has focused on so-called choreographed IWC approaches that enable self-organization of the aggregated components based on their messaging capabilities. Though a manual configuration of communication paths is not required anymore, such solutions bear several problems related to awareness and control of the emerging message flow. This paper presents a systematic approach to tackle these problems in the context of hybrid user interface mashups. We show how users can be made aware of the emerged IWC configuration and how they can adjust it to their needs. A reference architecture for development of hybrid mashup platforms, is derived and one implementation based on the publish-subscribe choreography model is given. We report on the results of a first user study and outline directions for the future research.","['Web', 'service', 'manager', 'enables', 'generic', 'M2', 'requires', 'technology', 'depth', 'seamless', 'specification', 'system', 'computing', 'Managing', 'federation', 'basis', 'standard', 'connected', 'management', 'environment', 'managertomanager']"
Enhancing media enrichment by semantic extraction,"['M. Krug', 'Fabian Wiedemann', 'M. Gaedke']",2014,9,"The opportunities of the Internet combined with new devices and technologies change the end users' habits in media consumption. While end users often search for related information to the currently watched TV show by themselves, we propose to improve this user experience by automatically enriching media using semantic extraction. In our recent work we focused on how to apply media enrichment to distributed screens. Based on the findings we made from our recent prototype we identify several problems and describe how we deal with them. We illustrate a way to achieve cross-platform real-time synchronization using several transport protocols. We propose the usage of sessions to handle multi-user, multi-screen scenarios and introduce techniques for new interaction and customization patterns. We extend our recent approach with the extraction of keywords from given subtitles by utilizing statistical algorithms and natural language processing technologies, which are then used to discover and display related content from the Web. The prototype presented in this paper reflects the improvements of our work. We discuss next research steps and define challenges for further research.","['Web', 'service', 'manager', 'enables', 'generic', 'M2', 'requires', 'technology', 'depth', 'seamless', 'specification', 'system', 'computing', 'Managing', 'federation', 'basis', 'standard', 'connected', 'management', 'environment', 'managertomanager']"
Towards metric-based usability evaluation of online Web interfaces,"['Maximilian Speicher', 'A. Both', 'M. Gaedke']",2013,6,"Current approaches to web interface evaluation are tedious or do not provide sufficient information. Thus, we propose a new metric-based method building on interaction data and usability models. This would enable internet companies to evaluate interfaces at faster iteration cycles but poses new requirements to usability instruments. As a first step, we present INUIT—an instrument aiming at this specific purpose. A confirmatory factor analysis showed that INUIT can reasonably well describe real-world perceptions of usability while being compatible with the desired metric-based approach.","['Web', 'service', 'manager', 'enables', 'generic', 'M2', 'requires', 'technology', 'depth', 'seamless', 'specification', 'system', 'computing', 'Managing', 'federation', 'basis', 'standard', 'connected', 'management', 'environment', 'managertomanager']"
Enriching web applications with collaboration support using dependency injection,"['M. Heinrich', 'Franz Josef Grüneberger', 'T. Springer', 'M. Gaedke']",2012,5,"Web-based collaboration tools such as Google Docs are pervasive in our daily lives since they have proven to efficiently support joint work of distributed teams. Nevertheless, the development of web-based groupware systems is a time-consuming and costly task because developers either have to become familiar with specific groupware libraries or are asked to re-implement concurrency control services (i.e. document synchronization, conflict resolution). Therefore, we propose a dependency injection mechanism using declarative annotations to incorporate concurrency control services into web applications. Instead of adopting comprehensive libraries or implementing application-specific components, synchronization capabilities are integrated in a lightweight and rapid fashion. To validate the approach, we enriched the widely-adopted Knockout framework with dependency injection facilities and transformed two Knockout-based applications into collaborative ones.","['Web', 'service', 'manager', 'enables', 'generic', 'M2', 'requires', 'technology', 'depth', 'seamless', 'specification', 'system', 'computing', 'Managing', 'federation', 'basis', 'standard', 'connected', 'management', 'environment', 'managertomanager']"
Modeling and Managing Federated Web-based Systems.,"['J. Meinecke', 'M. Gaedke', 'F. Majer', 'Alexander Brändle']",2007,3,"Among the various aspects of Web applications that are subject to modeling, like navigation, interaction or business processes, the architectural aspect is receiving growing attention. This is related to the fact that the Web is increasingly used as a platform for distributed services which transcend organizational boundaries to form so-called federated applications. In this context, we use the term “architecture” to denote the composition of the overall solution into individual Web applications and Web services that belong to different parties and invoke each other. The design and evolution of such systems calls for models that give an overview of the federation structure and reflect the technical details of the various accesses. We introduce the WebComposition Architecture Model (WAM) as an overall modeling approach tailored to aspects of highly distributed systems with federation as an integral factor.","['Web', 'service', 'manager', 'enables', 'generic', 'M2', 'requires', 'technology', 'depth', 'seamless', 'specification', 'system', 'computing', 'Managing', 'federation', 'basis', 'standard', 'connected', 'management', 'environment', 'managertomanager']"
